cartridge,dependencies
bc_marketing,app:bc_address:bc_application:bc_auditing:bc_basket:bc_catalog:bc_customer:bc_customer_orm:bc_customer_segment:bc_foundation:bc_gdpr:bc_handler_chain:bc_image:bc_mail:bc_mvc:bc_order:bc_organization:bc_payment:bc_pmc:bc_pmc_auditing:bc_preview:bc_pricing:bc_product:bc_product_pricing:bc_profanitycheck:bc_promotion:bc_region:bc_repository:bc_requisition:bc_ruleengine:bc_search:bc_service:bc_shipping:bc_shipping_data:bc_spreadsheet:bc_user:bts:businessobject:cache:component:configuration:core:emf:isml:jmx:orm:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property:xcs
bc_basket_orm,app:bc_address:bc_address_orm:bc_application:bc_basket:bc_catalog:bc_customer:bc_customer_segment:bc_foundation:bc_giftpackaging:bc_handler_chain:bc_image:bc_marketing:bc_mvc:bc_organization_hierarchies:bc_payment:bc_pricing:bc_product:bc_product_pricing:bc_promotion:bc_region:bc_repository:bc_requisition:bc_shipping:bc_shipping_data:bc_spreadsheet:bc_user:bc_user_orm:bc_warranty:bts:businessobject:component:configuration:core:orm:pf_extension:pf_objectgraph:pf_property:xcs
ac_inventory_service,app:bc_address:bc_application:bc_basket:bc_basket_orm:bc_catalog:bc_mvc:bc_product:bc_repository:bc_service:bc_store:bts:businessobject:configuration:core:xcs
ac_ruleengine_drools,bc_ruleengine:cache:configuration:core:jmx
bc_abtest,bc_customer:bc_foundation:bc_marketing:bc_mvc:bc_organization:bc_pmc:bc_promotion:businessobject:cache:configuration:core:emf:orm:pf_objectgraph_guice
bc_customer_catalog_filter,bc_customer:bc_customer_segment:bc_mvc:bc_repository:businessobject:core
bc_customer_catalog_filter_orm,app:bc_address:bc_application:bc_customer:bc_customer_catalog_filter:bc_customer_orm:bc_customer_segment:bc_foundation:bc_mvc:bc_repository:bc_user:businessobject:cache:core:isml:orm
bc_giftcard,app:bc_address:bc_application:bc_basket:bc_foundation:bc_handler_chain:bc_image:bc_mail:bc_mvc:bc_order:bc_organization:bc_product:bc_repository:bc_requisition:bc_service:bc_shipping_data:bc_spreadsheet:bc_user:bts:businessobject:configuration:core:jmx:pf_property:xcs
bc_order_impex,app:bc_application:bc_customer:bc_foundation:bc_handler_chain:bc_order:bc_repository:bc_service:bts:businessobject:core:orm:pf_property
bc_wishlist,bc_address:bc_basket:bc_customer:bc_foundation:bc_handler_chain:bc_product:bc_user:businessobject:core:pf_property:xcs
bc_order_orm,app:bc_address:bc_application:bc_basket:bc_basket_orm:bc_customer:bc_foundation:bc_giftcard:bc_handler_chain:bc_mail:bc_marketing:bc_mvc:bc_order:bc_organization:bc_organization_hierarchies:bc_payment:bc_pricing:bc_product:bc_repository:bc_service:bc_shipping_data:bc_spreadsheet:bc_user:bc_wishlist:bts:businessobject:cache:configuration:core:orm:pf_property:xcs
bc_payment_service,app:bc_address:bc_application:bc_basket:bc_customer:bc_foundation:bc_mvc:bc_order:bc_organization:bc_payment:bc_pricing:bc_product:bc_promotion:bc_repository:bc_service:bc_shipping:bc_shipping_data:bc_spreadsheet:bc_user:bc_user_orm:bc_warranty:bts:businessobject:core:orm:pf_property:xcs
bc_payment_orm,app:bc_address:bc_application:bc_basket:bc_customer:bc_customer_orm:bc_customer_segment:bc_foundation:bc_handler_chain:bc_order:bc_payment:bc_payment_service:bc_repository:bc_service:bc_spreadsheet:bc_user:bts:businessobject:cache:configuration:core:orm:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property
